AAL	Ashendon and Aynho Line	0.00 - 18.29	Ashendon Junction	Now NAJ3
ECK	Eskett Branch	5.00 - 5.25	Mire House Junction via Cleator Moor	nan
ECM	East Coast Main Line	see separate portions	nan	Note that there have been several deviations on this route for which separate ELRs were not issued
ECM1	Kings Cross to Shaftholme Junction	0.00 - 160.16	Kings Cross	nan
ECM2	Shaftholme Junction to Temple Hirst Junction	160.16 - 169.16	Kings Cross	nan
ECM3	Temple Hirst Junction to Colton Junction	169.16 - 182.79	Kings Cross	nan
ECM4	Colton Junction to York Station	182.79 - 188.40	Kings Cross	See also TCW3
ECM5	York Station to Newcastle West Junction	0.00 - 80.05	York	Mileage jumps 68.27/68.34 at Newton Hall because of 1960s realignment to remove severe speed restriction. No new portion allocated.
ECM6	Newcastle West Junction to Newcastle Station	80.05 - 80.16	York	nan
ECM7	Newcastle Station to Scottish border	0.00 - 69.67	Newcastle	Berwick to Marshall Meadows remiled from NBR to NER series on rebuilding of Berwick station in 1927
ECM8	Edinburgh to Scottish border	0.28 - 54.50	Edinburgh Waverley	nan
ECM9	Edinburgh Waverley Station Area	0.00 - 0.28	Edinburgh Waverley	nan
ECMZ	Newton Hall to Newcastle West Junction	68.20 - 80.05	York	Not in GEOGIS but present in a structure maintenance system. See ECM5
ECM1	Misson Branch	147.74 - 155.55	Kings Cross	See MSS
ECN	East Coast (Northern) Line (Edinburgh to Aberdeen)	see separate portions	nan	nan
ECN1	Edinburgh Waverley Station Area	-0.01 - 0.14	Edinburgh Waverley	nan
ECN2	Edinburgh to Camperdown Junction	0.14 - 59.78	Edinburgh Waverley	nan
ECN3	Camperdown Junction to St Vigean's Junction	0.21 - 17.17	Dundee East Station	nan
ECN4	St Vigean's Junction to Kinnaber Junction	17.55 - 33.26	Dundee Tay Bridge Station	nan
ECN5	Kinnaber Junction to Aberdeen	203.11 - 241.08	Carlisle via Perth Forfar	nan
ECR	Eastleigh Chandler's Ford and Romsey Line	73.25 - 80.35	Waterloo via Eastleigh East Junction (reverse)	nan
ECY	Eddlewood Colliery Branch	0.00 - 0.40	Eddlewood Junction	On Blantyre to Strathaven line between Meikle Earnock and Quarter
EDB	Edzell Branch	0.00 - 5.15	Brechin North Junction	nan
EDC	Eaglescliffe Dowmac Concrete Branch	8.45 - 8.55	Darlington	nan
EDE	Eden Valley Branch	0.00 - 21.73	Kirkby Stephen	nan
EDF	Edzell Fork	0.07 - 1.00 ??	Den Crossing	Datum = Brechin ??
EDK	Earsdon Junction to Northumberland Dock Line	0.00 - 3.61	Earsdon Junction	nan
EEA	Elmers End and Addiscombe Branch	11.05 - 12.77	London Bridge	nan
EEE	Liverpool Curve (Earlestown South to West Junctions)	186.74 - 187.15	Euston	nan
EFC	East Fife Central Line (East Fife Central Junction to Lochty)	0.00 - 14.50	Leven	nan
EFL	East Fife Line (Leuchars Milton Junction to Leven East Fife Central Junction)	0.17 - 38.48	Leuchars	nan
EFY	Eastfield Yard	?? - ??	nan	nan
EGB	Edinburgh to Glasgow via Bathgate Line	?? - ??	nan	= ABK?? or line to Wishaw ??
EGG	Eggborough Power Station Branch	see separate portions	nan	nan
EGG1	Eggborough Power Station Approach Tracks	0.00 - 1.05	Whitley Bridge Junction	nan
EGG2	Eggborough Power Station MGR Loop	1.05 - 2.60	Whitley Bridge Junction	nan
EGH	East Grinstead High Level to St Margarets Junction Line	29.42 - 30.18	London Bridge	nan
EGM	Edinburgh and Glasgow Main Line	see separate portions	nan	nan
EGM1	Glasgow Queen Street to Haymarket West Junction	0.00 - 44.75	Glasgow Queen Street High Level	nan
EGM2	Haymarket West Junction to Haymarket Station	44.75 - 46.00	Glasgow Queen Street High Level	nan
EGM3	Edinburgh to Haymarket	0.15 - 1.23	Edinburgh Waverley	nan
EGM4	Edinburgh Waverley Station Area	0.00 - 0.15	Edinburgh Waverley	nan
EGN	Elgin Branch	0.00 - 1.11	Elgin Junction	nan
EGP	Cowdenbeath Junction to Bridge of Earn Line	0.00 - 44.18	Cowdenbeath Junction	Includes BMB??
EGS	Edinburgh and Glasgow (via Shotts) Line	see separate portions	nan	nan
EGS1	Uddingston Junction to Mossend East Junction	0.00 - 3.63	Uddingston Junction	nan
EGS2	Mossend East Junction to Midcalder Junction	0.40 - 23.12	Mossend North Junction	nan
EHG	Picton Road Junction to Gridiron Sidings (Waterloo Grid Feeding Line)	0.00 - 0.70	Picton Road Junction	nan
EHL	East Ham Loop	6.18 - 6.74	Fenchurch Street	nan
EHP	Eridge Redgate Mill Junction Heathfield and Polegate Line	19.53 - 38.76	Brighton via Polegate (reverse)	nan
EHW	Edge Hill Junction to Park Lane Goods (Wapping Branch)	0.13 - 3.03	Olive Mount Junction	nan
EIW	Eirw Branch/Aerw Branch	15.08 - 15.79	Cardiff Bute Road	nan
EJC	Elliot Junction to Carmyllie Branch	0.00 - 5.20	Elliot Junction	nan
EJM	Earsdon and Morpeth Line	7.08 - 20.46	Manors Junction via South Gosforth	nan
EJN	Edgeley Junction and Northenden Branch	0.00 - 3.65	Edgeley Junction No 2	nan
EKB	East Kilbride Branch	7.64 - 11.29	Busby Junction	nan
EKE	Busby Junction to East Kilbride Branch	0.00 - 7.64	Busby Junction	nan
EKR	East Kent Light Railway (Shepherdswell to Tilmanstone)	71.04 - 73.60	Victoria via Herne Hill	nan
ELB	Elgin Lossie Junction to Lossiemouth Branch	0.09 - 5.57	Elgin Junction	nan
ELC	Elgin to Cairnie Coast Line	48.29 - 84.63	Aberdeen	nan
ELG	Ellangowan Branch	0.00 - 0.45 + sidings	Milngavie Junction	nan
ELK	Ellerbeck Branch	0.00 - 1.14	Adlington Junction	nan
ELL	Exeter Low Level Loop	nan	nan	Now EXL
ELL	East London Line (Whitechapel Sidings)	0.00 - 0.09 ??	nan	nan
ELL	East London Line	see separate portions	nan	nan
ELL1	Dalston Junction to New Cross Gate	0.11 - 6.08	Dalston Junction	nan
ELL2	Canal Junction to New Cross	5.21 - 5.78	Dalston Junction	nan
ELL3	Silwood Junction to Old Kent Road Junction (TfL portion)	4.66 - 5.51	Dalston Junction	nan
ELL4	Silwood Junction to Old Kent Road Junction (Network Rail portion)	2.23 - 2.32	London Bridge	nan
ELL5	Westbourne Road Junction To Dalston West Curve	2.17 - 3.66	Broad Street	nan
ELN	Engine Shed Junction to Leeds West Junction/Leeds North Junction Curve	195.20 - 195.53	St Pancras via Leicester, Toton, Barrow Hill and Cudworth	nan
ELO	Easter Road Junction to Lochend Junction Line	0.37 - 0.77	Piershill Junction	nan
ELR	East Lincolnshire Railway	122.02 - 154.76	Kings Cross	nan
ELT	Elsenham to Thaxted Line	0.00 - 5.41	Elsenham	nan
ELW	Ellesmere to Wrexham Line	0.00 - 12.46	Wrexham and Ellesmere (or Cambrian) Junction	nan
ELY	Ely Valley Branch	0.00 - 9.58	Ely Valley Junction	nan
EMB	Eyemouth Branch	0.00 - 2.72	Burnmouth	nan
EMH	Edgware to Mill Hill East Branch	7.32 - 11.28	Kings Cross	nan
EMP	Ely March and Peterborough Line	71.63 - 100.60	Liverpool Street via Clapton and Ely	nan
EMS	Eastleigh Maintenance Sidings	nan	nan	Now EYD5 and EYD6
EMT	Exmouth Branch	0.00 - 9.34	Exmouth Junction	nan
ENB	Enderby Branch	0.00 - 2.33	Narborough	nan
END	Fawkham Junction to Gravesend West Line	22.51 - 27.30	Victoria via Herne Hill	nan
ENT	Enfield Town Branch	9.20 - 10.55	Liverpool Street	nan
ENZ	Energlyn Loop	9.31 - 9.79	Cardiff East Dock	nan
EPB	Easton Pit Branch	0.00 - 0.47	Bathgate Lower station	nan
EPM	East Parkhead Branch (LMS)	0.00 - 0.29	East Parkhead Branch Junction	Caledonian Railway between Fallside and Motherwell
EPN	East Parkhead Branch (LNE)	0.00 - 0.46	Bellshill South Box	North British Railway Hamilton Branch
EPP	Epping Branch	4.52 - 22.44	Liverpool Street	nan
EPS	Earles Private Sidings	0.00 - 1.52	junction with MAS	nan
ERB	Esso Refinery Branch	0.00 - 3.15	Herbrandston Junction	nan
ERY	Exeter Riverside Yard	192.58 - 193.43	Paddington via Box	nan
ESB	East Somerset Branch	0.00 - 14.02	Witham East Somerset Junction	nan
ESJ	Ebbsfleet to Springhead Junction	22.21 - 22.42 (NR portion)/ 35.016 - 37.477km (full route)	Charing Cross via Springhead (reverse)/ St Pancras	Now included within TRL5
ESK	East Suffolk Line	69.41 - 116.27	Liverpool Street	nan
ESN	Eston Branch	2.57 - 3.24	Cargo Fleet Junction	nan
ESS	Emergency Spur, Selhurst	9.69 - 9.73	London Victoria	nan
EST	Essendine to Stamford Branch	0.00 - 3.73	Essendine	nan
ETC	Edinburgh to Carlisle Line	6.04 - 96.78	Edinburgh Waverley via Portobello Junction	from 6.23?
ETF	Eastleigh To Fareham Line	73.42 - 84.10	Waterloo via Eastleigh	nan
ETK	Etruria To Kidsgrove Line (Potteries Loop)	?? - ??	nan	= LEK??
ETN	Ely to Norwich Line	71.67 - 123.00	Liverpool Street via Cambridge	nan
ETP	East Tilbury and Pitsea Line	22.30 - 32.43	Fenchurch Street	Now part of TLL
ETW	Eccles, Tyldesley and Wigan Line	0.00 - 12.09	Eccles Junction	nan
ETY	Eling Tramway	82.52 - 83.16	Waterloo via Eastleigh and Totton (reverse)	nan
EUB	East Usk Branch (Newport)	0.00 - 4.06	East Usk Junction	nan
EUJ	East Usk Junction	&ap;0.00 - 0.04/ 156.70 - 157.43	East Usk Junction/Paddington via Stroud	nan
EVA	Ehen Valley Line	0.00 - 0.23	Gillfoot Branch Junction	nan
EVB	Exe Valley Branch	8.41 - 19.27	Morebath Junction	nan
EVL	Eastern Valleys Line	nan	nan	Now EVY
EVL	Elham Valley Line	0.00 - 16.17	Harbledown Junction	nan
EVP	Esk Valley Junction to Polton Junction Branch	8.63 - 10.73	Edinburgh Waverley via Portobello Junction	nan
EVY	Eastern Valleys Line	0.00 - 15.11	Newport George Street Junction	Formerly EVL
EWB	British Extracting Works Branch	?? - ??	nan	Hull area
EWC	Ely West Curve	71.63 - 72.63/ 0.00 - 1.00	Liverpool Street via Clapton and Ely North Junction (reverse)/ Ely North Junction	nan
EWD	Eastwood Branch	128.42 - 128.73	St Pancras	nan
EWG	Edge Hill Junction to Waterloo Goods	0.00 - 3.07	Edge Hill Junction	nan
EWZ	East Wheal Rose and Treamble Branch	0.00 - 0.52	Junction with TNQ	Listed to 2.44
EXD	Exmouth Docks Branch	9.14 - 9.58	Exmouth Junction	nan
EXL	Exeter Low Level Loop	0.00 - 0.20	Exeter Basin Loop Junction	Formerly ELL
EXR	Exeter Railway	0.00 - 8.07	Exeter Railway Junction	nan
EYD	Eastleigh Marshalling Yard	72.55 - 74.00	Waterloo	Summary ELR
EYD	Eastleigh Yards	see separate portions	nan	nan
EYD1	Pad, CMD and Military Sidings	72.50 - 73.13	Waterloo	nan
EYD2	East Marshalling Yard	72.46 - 73.06	Waterloo	nan
EYD3	Fields Sidings and Loco Standing	73.06 - 74.22	Waterloo	nan
EYD4	Station Carriage Sidings Number 1 to 14	73.30 - 73.77	Waterloo	nan
EYD5	Works Outside Roads, Wagon and Test Shop	73.58 - 74.11	Waterloo	Formerly EMS
EYD6	Works Shed Roads and Extension Roads 1 to 15	73.48 - 74.16	Waterloo	Formerly EMS
EYD7	Diesel Depot and Sheds	73.66 - 74.29	Waterloo	nan
EYD8	Yard Airport Stabling Sidings	73.72 - 74.18	Waterloo	nan
EYD9	Carriage Servicing Sheds	73.47 - 74.58	Waterloo	nan
FAB	Farnley and Wortley Branch	0.13 - 1.04	Farnley Branch Junction	Datum possibly 41 MP on MDL1
FAC	Forth and Clyde Branch	0.00 - 29.74	Stirling	nan
FAD	Fazakerley North Junction to Alexandra (Langton Docks) Branch	0.00 - 2.36	Fazakerley North Junction	nan
FAE	Farme Branch (Glasgow Bridgeton)	0.00 - 0.55	Rutherglen North Box	nan
FAL	Falmouth Branch	see separate portions	nan	nan
FAL1	Penwithers Junction to end of Pascoe Deviation	301.25 - 307.52	Paddington via Box and Plymouth Millbay (reverse)	nan
FAL2	End of Pascoe Deviation to end of Penryn Deviation	307.53 - 309.24	Paddington via Box and Plymouth Millbay (reverse)	nan
FAL3	End of Penryn Deviation to end of branch	309.25 - 312.51	Paddington via Box and Plymouth Millbay (reverse)	nan
FAR	Faringdon Branch	66.36 - 70.05	Paddington	nan
FAS	Fletton Ash Sidings	0.00 - 1.74	Fletton Junction	nan
FAT	Facit Branch (Rochdale East Junction to Bacup)	11.01 - 19.13	Manchester Victoria	nan
FBC	Firbeck East Curve	0.00 - 0.47	Harworth South Junction	nan
FBD	Froghall Branch Deviation	0.00 - 0.51?	?	At least 0.11 long
FBL	Forfar to Brechin Line	0.00 - 14.25	Forfar South Junction	nan
FBZ	Fochriw Branch	0.00 - 1.28	Fochriw Junction	Formerly FOW
FCB	Firbeck Colliery Branch	12.72 - 17.12	Brancliffe East Junction	nan
FCL	Midhurst and Chichester Line	see separate portions	nan	nan
FCL1	Lavant Junction to Lavant	29.27 - 32.23	Brighton	nan
FCL2	Midhurst to Lavant	61.12 - 68.55	London Bridge via Redhill	nan
FCO	Farington Curve Junction and Ormskirk Line	12.14 - 25.64	Liverpool Exchange	nan
FCT	Forcett Branch	0.00 - 4.77	Forcett Junction	nan
FCY	Finsbury Park Coal Yard	?? - ??	Kings Cross ??	nan
FCZ	Frampton Cotterell Branch	0.00 - 1.07	Iron Acton	nan
FDM	Faversham to Dover Marine	52.07 - 78.30	Victoria via Herne Hill	nan
FDV	Fareham Deviation	82.42 - 84.36	Waterloo via Eastleigh	nan
FEC	Filton Loop (Filton East Curve)	111.79 - 113.01	Paddington	Formerly FIL
FED	Felixstowe Docks Branch	83.57 - 85.54	Liverpool Street	nan
FEK	Faversham to Faversham Creek Branch	52.05 - 53.29	Charing Cross	nan
FEL	Felixstowe Branch	72.23 - 84.30	Liverpool Street	nan
FEP	Ferryhill Junction and Pelaw Line (Leamside Branch)	2.49 - 20.75	Ferryhill South Junction	nan
FER	Ferryfield Branch	0.00 - 0.22	Alexandria	nan
FES	Fratton to East Southsea Branch	0.00 - 1.35	Fratton Junction	nan
FFB	Ffrith Branch	0.00 - 2.28	Ffrith Junction	nan
FFD	Fairford Branch	67.28 - 89.22	Paddington via Didcot	nan
FFH	Folkestone Harbour Branch	see separate portions	nan	nan
FFH1	Folkestone East to limit of headshunt	70.72 - 71.22	Charing Cross via Chelsfield	nan
FFH2	Folkestone East Yard to Harbour	71.08 - 72.30	Charing Cross via Chelsfield, reverse in Train Roads (71.08)	nan
FFR	Ffrwd Branch	0.00 - 1.02	Ffrwd Junction	nan
FGB	Friary Goods Branch	233.37 - 233.67	Waterloo	Now part of FRY
FGC	Fighting Cocks Branch (Dinsdale)	see separate portions	nan	nan
FGC1	Albert Hill Junction to Fighting Cocks goods station	0.00 - 3.20	Albert Hill Junction	nan
FGC2	Fighting Cocks goods station to Oak Tree Junction	3.20 - 4.21	Albert Hill Junction	nan
FGL	Friockheim to Glasterlaw Line	0.00 - 1.25	Friockheim Junction	nan
FGW	Forest Gate Junction to Woodgrange Park Junction Curve	5.63 - 6.14/ 0.00 - 0.31	Liverpool Street/Woodgrange Park Junction	nan
FHB	Ferryhill Junction to Ballater (Deeside) Branch	0.51 - 43.27	Aberdeen	Originally measured from Ferryhill Junction as far as Banchory, then from Banchory thereafter
FHC	Filey Holiday Camp Branch	42.41 - 43.22	Hull	nan
FHG	Forth Goods (Railway Street Sidings)	8.52 - 11.10	Newcastle ??	Listed as 0.47 - 0.53
FHL	Fountainhall to Lauder Branch (Lauder Light Railway)	0.00 - 10.33	Fountainhall Junction	nan
FHR	Farington Curve Junction and Hall Royd (Burnley) Junction Line	see separate portions	nan	nan
FHR1	Farington Curve Junction to Engine Shed Junction	0.00 - 0.64	Farington Curve Junction	nan
FHR2	Engine Shed Junction to Lostock Hall Junction	0.64 - 1.42	Farington Curve Junction	nan
FHR3	Lostock Hall Junction to Bamber Bridge Junction	1.42 - 2.12	Farington Curve Junction	nan
FHR4	Bamber Bridge Junction to Blackburn	2.12 - 10.50	Farington Curve Junction	nan
FHR5	Blackburn to Gannow Junction	10.50 - 21.03	Farington Curve Junction	nan
FHR6	Gannow Junction to Hall Royd Junction	21.03 - 30.54	Farington Curve Junction	nan
FIC	Firbeck Colliery Branch	?? - ??	nan	Duplicate of FCB
FIE	Fairlie Branch	0.00 - 1.35	Fairlie Branch Junction	nan
FIG	Foss Islands Branch (York)	0.00 - 1.53	Burton Lane Junction	nan
FIL	Filton Loop (Filton East Curve)	nan	nan	Now FEC
FJH	Frodsham Junction to Halton Junction Curve	0.00 - 1.54	Halton Junction	nan
FJJ	Farlington Junction to Cosham Junction	90.43 - 91.09/ 40.38 - 41.04	Waterloo via Eastleigh/Brighton	nan
FJL	Ford Junction to Littlehampton Junction	0.00 - 0.31/ 60.25 - 60.58	Ford Junction/London Bridge via Redhill and Ford Junction (reverse)	nan
FJS	Fawkham Junction to Southfleet	200.091 - 206.012km	datum point near Fawkham Junction	See also FSJ. Shown in CTRL documentation as FJS1
FJS1	Fawkham Junction to Southfleet	nan	nan	See FJS
FKE	Firbeck East Curve	?? - ??	nan	Duplicate of FBC
FKW	Ferrybridge to Knottingley West Junction Curve	2.25 - 2.71	Burton Salmon	nan
FLB	Faslane Branch	0.00 - 2.44	Faslane Junction	nan
FLD	Farringdon Line and Depot	0.00 - 0.24	Farringdon LNE Goods Junction	nan
FLE	Fletcher Street Junction to High Street Coal Branch	0.00 - 0.21	Fletcher Street Junction	Bolton Great Moor Street
FLG	Flemington Goods Branch	87.77 - 88.30	Carlisle	nan
FLH	Ferryhill and Hartlepool Line	0.00 - 11.06	Cemetery North Junction	nan
FLL	Factory, Longhedge and Lavender Hill Junctions to Clapham Ludgate Junction	see separate portions	nan	nan
FLL1	Longhedge 'A' Junction to Factory Junction	0.09 - 0.41	Longhedge 'A' Junction	nan
FLL2	Longhedge 'A' Junction to Lavender Hill Junction	1.58 - 2.29	Victoria	nan
FLL3	Lavender Hill Junction to Clapham Junction Western side	2.29 - 2.58	Waterloo	nan
FLN	Flemington Junction to Flemington Freight Depot	87.77 - 88.30	Carlisle	nan
FLP	Ferniegair Loop	0.00 - 0.53	Haughead Junction	Haughead Junction to Ferniegair Junction
FLS	Ravenhead Branch (St Helens)	0.00 - 1.01	Ravenhead Junction	nan
FLX	Felixstowe Loop	0.00 - 0.56	Felixtowe Station Junction	nan
FMB	Fairmuir and Maryfield Branch	0.00 - 1.35	Fairmuir Junction	nan
FNB	Friarton Branch (Perth)	0.00 - 0.26	Friarton Box	nan
FNS	Frome and North Somerset Line	see separate portions	nan	nan
FNS1	Frome Mineral Loop Junction to Frome West Junction	0.00 - 0.31	Frome Mineral Loop Junction	Formerly FRM??
FNS2	Frome West Junction to Bristol North Somerset Junction	0.20 - 23.26	Radstock Branch Junction	23.10 - 23.26 now 0.00 - 0.16 in BRL
FNS3	Frome Radstock Branch Junction to Frome West Junction	0.00 - 0.20	Radstock Branch Junction	nan
FOB	Forfar Old Branch	0.00 - 0.32	Forfar South Junction	nan
FOD	Forest of Dean Branch	0.00 - 6.17	Forest of Dean Junction	Formerly 0.00 - 6.39; junction moved and line remiled
FOG	Forth Goods	0.00 - 0.45	Forth Junction	nan
FOM	Fletton to Orton Mere Branch	0.00 - 1.79	Fletton Junction	nan
FOR	Fords Factory Branch	0.00 - 1.12	Ford's Junction	nan
FOS	Ffrwd Branch [Great Western]	2.62 - 4.13	Croes Newydd North Fork Junction	nan
FOW	Fochriw Branch	nan	nan	Now FBZ
FOX	Foxfield to Coniston Branch	0.00 - 9.70	Foxfield	nan
FOY	Fowey Branch	282.16 - 286.20	Paddington via Box, Plymouth Millbay (reverse) and St Blazey Junction (reverse)	nan
FOZ	Forest of Dean Central Branch	0.00 - 5.50	Awre Junction	nan
FPB	Foryd Pier Branch	0.00 - 0.58	Junction with VOC	nan
FPR	Fairlie Pier Branch	39.56 - 40.08	Glasgow Bridge Street	nan
FRA	Frome Avoiding Line	114.39 - 116.37	Paddington via Newbury	nan
FRB	Framlingham Branch	85.30 - 91.02	Liverpool Street	nan
FRC	Frickley Colliery Branch	see separate portions	nan	nan
FRC1	Open portion	0.00 - 0.60	Moorthorpe Junction	nan
FRC2	Frickley Colliery Branch	0.00 - 0.43	Moorhouse Station Junction	nan
FRG	Froghall Branch	0.00 - 4.14	Froghall Junction	nan
FRM	Frome Mineral Loop	0.00 - 0.31	Frome Mineral Loop Junction	Now FNS1??
FRO	Fron Branch	0.00 - 0.42	Fron Branch Junction	nan
FRT	Fortissat Branch	0.00 - 1.53	Hartwoodhill Junction	nan
FRW	Fisherrow Branch	0.00 - 0.63	Fisherrow Junction	nan
FRY	Friary Branch	232.73 - 233.65/ 244.60 - 245.53	Waterloo/Paddington via Box	233.37 - 233.65 formerly in FGB
FSB	Fenchurch Street to Blackwall Line	1.53 - 3.46	Fenchurch Steet	nan
FSC	Fraserburgh to St Combs Branch	0.37 - 4.71	Fraserburgh	nan
FSH	Fishguard Harbour Lines	287.52 - 289.05	Paddington via Stroud and Rosebush	nan
FSJ	Fawkham Junction to Southfleet	200.000 - 206.012km	Fawkham Junction	See also FJS. Both are reported, this one in error
FSO	Ffos Y Go Colliery Branch	?? - ??	??	Few details known
FSS	Fenchurch Street and Shoeburyness Line	see separate portions	nan	nan
FSS1	Fenchurch Street to Barking West Junction	0.00 - 7.08	Fenchurch Street	nan
FSS2	Barking West Junction to Southend Central	7.08 - 35.55	Fenchurch Street	nan
FSS3	Southend Central to Shoeburyness	35.55 - 39.40	Fenchurch Street	nan
FTB	Furnace Tops Branch	nan	nan	Now FTS
FTB	Fareham To Bedenham Sidings (Fort Brockhurst) Branch	84.27 - 91.00	Waterloo via Eastleigh	Listed to 87.21
FTL	Farringdon to Ludgate (Blackfriars) Line	0.00 - 0.39	Farringdon Junction	nan
FTS	Furnace Tops Branch	22.15 - 22.46	Taff Vale Extension Junction	Formerly FTB
FUR	Furzebrook Sidings Branch	126.30 - 130.00	Waterloo via Southampton Terminus (reverse) and Ringwood	nan
FWC	Filton West Curve	4.67 - 5.41	Bristol Temple Meads	Formerly FWL
FWL	Filton West Curve	nan	nan	Now FWC
FWR	Rossington Colliery Branch (Doncaster)	see separate portions	nan	nan
FWR1	Flyover West Junction to Rossington Colliery Headshunt	151.38 - 153.19	Kings Cross	nan
FWR2	Rossington Colliery	151.69 - 153.31	Kings Cross	nan
FWW	Forncett Wymondham and Wells Line	see separate portions	nan	nan
FWW1	Forncett to Wymondham	104.41 - 110.58	Liverpool Street	nan
FWW2	Ryburgh to Wells	16.20 - 33.06	Wymondham	nan
FWY	Fiveways Branch	0.00 - 1.41	Little Norton Junction	LNWR branch to Coppice Colliery off line from Norton Junction (Brownhills)
GAA	Glasgow Airport Rail Link	0.00 - 1.20	Branch junction	Never built
